Gen 5: New trait: trait_eye_size_tentacle_joints_weighted (plateau=False, gens_since=5)
Gen 5: New trait: trait_camouflage_laser_power_multiply (plateau=False, gens_since=5)
Gen 10: New trait: trait_telekinesis_tentacle_weapon_weighted (plateau=False, gens_since=5)
Gen 5: New trait: trait_power_base_intimidation_max (plateau=False, gens_since=5)
Gen 5: New trait: trait_stealth_vision_max (plateau=False, gens_since=5)
Gen 10: New trait: trait_tentacle_joints_tongue_length_max (plateau=False, gens_since=5)
Gen 15: New trait: trait_intimidation_telekinesis_multiply (plateau=False, gens_since=5)
Gen 20: New trait: trait_eye_count_tentacle_length_multiply (plateau=False, gens_since=5)
Gen 25: New trait: trait_telekinesis_fire_power_multiply (plateau=False, gens_since=5)
Gen 30: New trait: trait_trait_intimidation_telekinesis_multiply_power_base_add (plateau=False, gens_since=5)
Gen 35: New trait: trait_tentacle_joints_power_max (plateau=False, gens_since=5)
Gen 40: New trait: trait_ranged_power_eye_count_weighted (plateau=False, gens_since=5)
Gen 45: New trait: trait_telekinesis_vision_base_weighted (plateau=False, gens_since=5)
Gen 50: New trait: trait_ranged_power_power_base_add (plateau=False, gens_since=5)
Gen 55: New trait: trait_trait_ranged_power_power_base_add_camouflage_weighted (plateau=False, gens_since=5)
Gen 60: New trait: trait_tentacle_length_power_base_weighted (plateau=False, gens_since=5)
Gen 65: New trait: trait_tentacle_joints_fire_power_weighted (plateau=False, gens_since=5)
Gen 70: New trait: trait_fire_power_ranged_power_add (plateau=False, gens_since=5)
Gen 75: New trait: trait_tentacle_weapon_flash_rate_multiply (plateau=False, gens_since=5)
Gen 80: New trait: trait_trait_tentacle_joints_power_max_stealth_multiply (plateau=False, gens_since=5)
Gen 85: New trait: trait_flash_rate_trait_tentacle_weapon_flash_rate_multiply_weighted (plateau=False, gens_since=5)
Gen 90: New trait: trait_aggression_trait_tentacle_joints_power_max_multiply (plateau=False, gens_since=5)
Gen 95: New trait: trait_eye_size_trait_trait_ranged_power_power_base_add_camouflage_weighted_max (plateau=False, gens_since=5)
Gen 100: New trait: trait_camouflage_speed_max (plateau=False, gens_since=5)
Gen 105: New trait: trait_laser_power_tongue_length_multiply (plateau=False, gens_since=5)
Gen 110: New trait: trait_trait_ranged_power_eye_count_weighted_melee_power_weighted (plateau=False, gens_since=5)
Gen 115: New trait: trait_tentacle_weapon_trait_ranged_power_eye_count_weighted_weighted (plateau=False, gens_since=5)
Gen 5: New trait: trait_intimidation_eye_size_add (plateau=False, gens_since=5)
Gen 120: New trait: trait_trait_eye_count_tentacle_length_multiply_flash_rate_weighted (plateau=False, gens_since=5)
Gen 10: New trait: trait_melee_power_intimidation_add (plateau=False, gens_since=5)
Gen 125: New trait: trait_melee_power_trait_eye_count_tentacle_length_multiply_add (plateau=False, gens_since=5)
